,seed,actions
0,3858330000,"[0, 1, 0, 2, 0, 2, 0, 3, 1, 1, 3, 0, 1, 0, 2, 2, 0, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 2]"
1,3858330001,"[1, 2, 0, 3, 1, 1, 1, 2, 2, 0, 2, 2, 1, 1, 2, 0, 0, 3, 1, 3, 3, 0, 3, 3, 0, 2, 0, 2, 1, 3, 1, 2, 1, 2, 2, 0, 3, 3, 3, 2, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 0]"
2,3858330002,"[3, 0, 1, 1, 3, 3, 0, 2, 0, 0, 3, 1, 3, 2, 0, 2, 1, 1, 3, 0, 1, 2, 0, 0, 3, 0, 3, 0, 3, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 0, 3, 2, 2, 0, 3, 1, 3, 1, 3, 0, 2, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 3, 0, 3, 0, 2, 2, 1, 2, 0, 3, 1, 3, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 3, 1, 3, 3, 0, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 3, 0, 3, 0, 2, 2, 0, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 3, 1, 2, 0, 3, 1, 3, 0, 0, 3, 1, 0, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 1, 1, 3, 3, 3, 3, 0, 2, 1, 2, 2, 0, 2, 1, 3, 0, 3, 3, 3, 0, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 3, 1, 0, 1, 2, 2, 1, 3, 2, 0, 2, 1, 2, 1, 1, 3, 3, 3, 0, 3, 0, 2, 2, 0, 2, 1, 1, 3, 0, 1, 2, 2, 0, 3, 0, 3, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 3, 0, 2, 3, 0, 1, 0, 2, 2, 1, 3, 2, 0, 2, 1, 2, 1, 1, 3, 3, 3, 0, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 2, 2, 1, 2, 1, 3, 3, 3, 1, 2, 1, 2, 0, 3, 1, 3, 0, 0, 2, 0, 2, 1, 3, 2, 0, 0, 3, 3, 1, 0, 1, 2, 2, 2, 1, 1, 3, 0, 1, 2, 2, 1, 3, 3, 3, 3, 0, 0, 2, 2, 1, 2, 2, 1, 3, 3, 3, 0, 1, 0, 2, 0, 0, 0, 3, 3, 1, 2, 1, 2, 1, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0, 1, 2, 2, 1, 2, 2, 1, 3, 3, 3, 0, 1, 3, 0, 2, 0, 2, 1, 3, 3, 0, 2, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 1, 2, 2, 1, 3, 1, 3, 1, 3, 0, 0, 0, 1, 2, 3, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 2, 1, 3, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 3, 0, 3, 1, 3, 0, 1, 0, 2, 2, 2, 1, 3, 1, 2, 2, 1, 3, 3, 3, 0, 1, 0, 3, 0, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 2, 1, 3, 1, 3, 0, 2, 1, 3, 1, 2, 2, 2, 2, 0, 3, 0, 3, 0, 3, 0, 3, 3, 1, 2, 3, 0, 2, 1, 1, 2, 1, 3, 3, 0, 2, 0, 2, 1, 1, 3, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1]"
3,3858330003,"[2, 1, 2, 3, 0, 3, 1, 2, 1, 2, 0, 3, 3, 1, 2, 1, 1, 3, 0, 2, 1, 3, 1, 2, 0, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 0, 1, 2, 1, 1, 2, 2, 1, 3, 2, 0, 3, 3, 3, 1, 2, 0, 3, 0, 2, 1, 2, 2, 1, 3, 2, 0, 3, 3, 3, 0, 0, 1, 0, 2, 1, 1, 3, 1, 2, 0, 1, 3, 0, 0, 0, 2, 2, 0, 3, 0, 3, 1, 2, 2, 1, 3, 1, 1, 1, 2, 3, 0, 3, 0, 2, 0, 2, 0, 3, 3, 1, 0, 1, 2, 1, 1, 1, 2, 2, 0, 1, 3, 3, 0, 3, 0, 2, 1, 1, 2, 2, 2, 3, 0, 3, 3, 1, 3, 0, 0, 2, 0, 2, 0, 3, 3, 1, 1, 1]"
4,3858330004,"[2, 2, 3, 2, 0, 2, 0]"
5,3858330005,"[3, 2, 1, 1, 3, 0, 2, 1, 1, 1, 1, 3, 0, 0]"
6,3858330006,"[2, 3, 1, 2]"
7,3858330007,"[2, 1, 1, 3, 3, 0, 2, 0, 1, 3, 1, 2, 2, 2, 2, 0, 0, 2, 1, 1, 1, 1, 3, 0, 2, 0, 0, 0, 3, 3, 3, 1, 3, 2, 0, 2, 1, 2, 0, 2, 1, 1, 1, 3, 0, 2, 1, 3, 0, 3, 0, 3, 3, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 2, 1, 0, 2, 1, 1, 1, 3, 0, 3, 2, 2, 0, 0, 3, 1, 0, 2, 1, 3, 3, 3, 3, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 1, 2, 1, 3, 2, 0, 0, 2, 1, 1, 1, 1, 3, 0, 2, 0, 0, 0, 3, 3, 1, 1, 3, 2, 3, 0, 3, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 0, 2, 1, 3, 0, 3, 3, 0, 3, 3, 1, 2, 3, 0, 2, 2, 0, 2, 1, 1, 2, 2, 0, 3, 0, 3, 3, 3, 1, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 2, 1, 3, 0, 1, 2, 1, 3, 2, 0, 0, 3, 3, 3, 1, 2, 3, 2, 0, 2, 2, 2, 1, 1, 1, 3, 0, 3, 3, 2, 3, 0, 3, 0, 2, 2, 2, 1, 3, 0, 3, 3, 1, 3, 1, 2, 2, 3, 3, 0, 2, 0, 2, 2, 1, 3, 1, 2, 3, 3, 3, 0, 2, 0, 1, 3, 1, 2, 2, 2, 0, 0, 2, 2, 1, 1, 1, 3, 0, 2, 1, 3, 0, 3, 3, 3, 3, 0, 2, 0, 2, 1, 3, 2, 0, 2, 1, 1, 3, 2, 3, 0, 3, 0, 2, 2, 2, 1, 0, 2, 1, 3, 3, 3, 3, 3, 1, 2, 3, 0, 2, 2, 0, 2, 1, 2, 1, 0, 0, 2, 1, 1, 3, 3, 0, 3, 3, 1, 2, 0, 1, 3, 3, 0, 2, 0, 2, 2, 1, 2, 1, 1]"
8,3858330008,"[1, 3, 0]"
9,3858330009,"[1, 1, 2, 1, 1, 3, 1, 2, 0, 0, 0, 3, 1, 2, 1, 1, 3, 3, 0, 1, 2, 0, 0]"
10,3858330010,"[3, 0, 1, 2, 2, 0, 3, 1, 3, 3, 0, 2, 0, 3, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 3, 0, 2, 2, 0, 3, 2, 1, 3, 1, 2, 0, 3, 1, 3, 0, 0, 3, 0, 2, 2, 0, 2, 2, 1, 3, 0, 1, 1, 3, 1, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 3, 0, 2, 0, 2, 0, 0, 3, 1, 3, 2, 0, 3, 3, 1, 1, 2, 1, 2, 1, 2, 0, 3, 1, 3, 0, 0, 2, 1, 2, 0, 3, 2, 1, 3, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 3, 0, 2, 0, 0, 3, 0, 2, 2, 2, 1, 3, 0, 1, 1, 3, 1, 1, 2, 0, 3, 1, 3, 0, 0, 3, 0, 2, 0, 2, 1, 3, 2, 0, 3, 3, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 0, 3, 1, 3, 3, 0, 3, 0, 0, 2, 1, 1, 1, 2, 2, 0, 3, 0, 0, 3, 2, 1, 1, 2, 1, 3, 3, 0, 3, 0, 0, 3, 0, 2, 2, 0, 2, 2, 1, 3, 0, 1, 1, 3, 1, 3, 2, 0, 2, 0, 0, 3, 1, 3, 2, 0, 3, 3, 1, 1, 2, 1, 2, 2, 1, 2, 1, 3, 3, 0, 3, 0, 0, 2, 1, 3, 2, 0, 0, 2, 1, 3, 2, 0, 3, 3, 0, 3, 1, 1, 2, 1, 1, 2, 3, 0, 2, 1, 1, 2, 2, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 0, 3, 2, 2, 0, 0, 3, 1, 3, 2, 0, 0, 3, 0, 2, 2, 2, 1, 3, 0, 1, 1, 3, 1, 2, 1, 2, 1, 3, 3, 0, 3, 0, 0, 3, 0, 2, 0, 2, 1, 3, 2, 0, 3, 3, 1, 1, 2, 1, 1, 2, 2, 0, 3, 1, 0, 2, 0, 0, 3, 3, 1, 2, 1, 1, 3, 0, 2, 2, 0, 3, 3, 2, 2, 1, 3, 1, 3, 0, 0, 0, 2, 0, 2, 2, 1, 3]"
11,3858330011,"[1, 1, 2, 2, 0, 2, 1, 2, 0, 2, 1, 3, 0, 3, 3, 3, 2, 2, 0, 3, 0, 2, 2, 1, 0, 3, 1, 3, 1, 2, 1, 3, 3, 3, 0, 1, 0, 2, 2, 2, 1, 2, 0, 2, 1, 3, 0, 3, 3, 0, 0, 2, 2, 1, 0, 3, 1, 3, 1, 2, 1, 2, 2, 0, 3, 3, 0, 3, 0, 2, 2, 1, 1, 2, 1, 3, 3, 3, 3, 0, 2, 1, 2, 0, 3, 2, 2, 0, 3]"
12,3858330012,"[2, 3, 0, 2, 0, 2, 0, 0, 0, 3, 1, 3, 1, 1, 3, 3, 0, 2, 1, 2, 2, 1, 1, 3, 3, 0, 3, 2, 2, 0, 0, 3, 1, 3, 2, 0, 2, 1, 2, 1, 1, 3, 3, 0, 0, 1, 3, 0, 0, 2]"
13,3858330013,"[0, 1, 3, 2, 0, 0, 2, 1, 3, 1, 3, 3, 0, 1, 2, 2, 0, 2, 0, 3, 3, 3, 0, 3, 0, 2, 2, 2, 1, 0, 3, 1, 3, 1, 2, 1, 3, 1, 1, 3, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 2, 1, 2, 0, 2, 1, 3, 1, 3, 0, 3, 1, 3, 3, 0, 2, 3, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 0, 3, 1, 3, 1, 1, 3, 2, 0, 2, 0, 2, 1, 0, 0, 3, 1, 3, 1, 2, 1, 1, 3, 0, 1, 2, 2, 0, 1, 3, 0, 3, 3, 3, 1, 2, 1, 0, 3, 0, 0, 0, 2, 2, 1, 2, 1, 2, 2, 0, 3, 0, 0, 3, 1, 3, 1, 1, 2, 1, 3, 0, 1, 2, 2, 0, 0, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 2, 1, 1, 3, 0, 1, 0, 3, 0, 0, 2, 2, 1, 1, 3, 3, 0, 2, 3, 0, 0, 2, 2, 1, 3, 1, 1, 1, 2, 0, 2, 2, 0, 0, 3, 1, 3, 1, 3, 3, 0, 0, 0, 2, 2, 1, 3, 1, 3, 0, 0, 2, 2, 1, 2, 1, 3, 1, 0, 0, 2, 0, 3, 3, 0, 3, 1, 1, 1, 1, 2, 1, 0, 3, 0, 2, 3, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 1, 2, 1, 3, 1, 3, 3, 0, 1, 0, 3, 3, 1, 2, 1, 0, 3, 0, 0, 2, 2, 1, 3, 3, 1, 2, 1, 2, 0, 3, 1, 2, 0, 2, 0, 0, 3, 1, 3, 2, 0, 2, 2, 0, 3, 0, 1, 2, 1, 2, 1, 3, 1, 3, 3, 0, 1, 2, 2, 0, 2, 0, 3, 0, 0, 3, 3, 1, 3, 1, 2, 1, 1, 1, 3, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 1, 1, 2, 2, 0, 0, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 0, 2, 1, 3, 2, 0, 0, 3, 0, 2, 2, 1, 2, 1, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 2, 2, 1, 3, 0, 1, 2, 2, 0, 2, 0, 3, 0, 0, 3, 1, 3, 1, 2, 3, 0, 3, 0, 2, 2, 1, 2, 1, 2, 1, 3, 1, 3, 3, 1, 3, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 1, 0, 2, 0, 3, 3, 0, 3, 1, 1, 1, 1, 2, 0, 2, 3, 3, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 1, 2, 1, 3, 1, 3, 3, 0, 1, 2, 2, 0, 2, 0, 3, 0, 0, 3, 1, 3, 3, 0, 3, 1, 1, 2, 3, 1, 2, 2, 0, 2, 3, 1, 1, 1, 3, 0, 1, 0, 3, 0, 0, 0, 2, 0, 2, 1, 3, 1, 1, 2, 1, 2, 2, 0, 2, 0, 3, 3, 3, 2, 3, 1, 1, 1, 3, 0, 1, 0, 3, 0, 0, 2, 3, 1, 1, 2, 0]"
14,3858330014,"[2, 0, 1, 0, 3, 1, 1, 1, 2, 0]"
15,3858330015,"[2, 3, 1, 1, 2, 0, 3, 1, 2, 0, 2, 2, 0, 0, 3, 1, 0, 3, 3, 1, 2, 1, 2, 1, 1, 3, 0, 3, 0, 0, 0, 2, 2, 1, 0, 2, 1, 3, 3, 3, 1, 1, 2, 2, 0, 1, 1, 3, 0, 3, 0, 0, 0, 2, 2, 2, 1, 3, 0, 3, 1, 3, 1, 2, 3, 1, 2, 0, 0, 2, 1, 1]"
16,3858330016,"[0, 0, 2, 0, 3, 1, 1, 1, 2, 3, 0, 0, 2, 0, 2, 1, 3, 2, 2, 2, 1, 1, 3, 3, 1, 0, 2, 0, 0, 3, 3, 1, 2, 1, 1, 2, 2, 0, 0, 0, 3, 3, 1, 3, 3, 1, 2, 3, 0, 0, 2, 2, 2, 2, 1, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 2, 1, 0, 3, 0, 2, 1, 1, 2, 2, 0, 3, 0, 3, 1, 3, 2, 0, 2, 2, 0, 3, 2, 1, 1, 1, 1, 3, 3, 0, 2, 2, 0, 0, 0, 3, 3, 1, 1, 3, 2, 0, 2, 0, 3, 0, 3, 3, 1, 2, 0, 2, 1, 3, 2, 0, 3, 3, 1, 1, 1, 2, 2, 2, 0, 0, 2, 1, 1, 1, 1, 3, 3, 0, 2, 2, 0, 0, 0, 3, 3, 3, 1, 2, 1, 3, 2, 0, 0, 2, 2, 1, 3, 0, 3, 3, 1, 2, 1, 3, 3, 0, 0, 2, 2, 2, 2, 1, 1, 1, 1, 3, 3, 0, 2, 2, 0, 0, 0, 3, 3, 1, 2, 3, 1, 3, 2, 0, 2, 1, 2, 0]"
17,3858330017,"[0, 2, 0, 1, 1, 3, 3, 3, 3, 0, 1, 2, 2, 2, 2, 2, 0]"
18,3858330018,"[3, 1, 0, 3, 2, 1, 2, 1, 3, 2, 3, 0, 0, 3, 1, 3, 0, 1, 1, 2, 0, 2, 0, 2, 1, 1, 3, 3]"
19,3858330019,"[0, 2, 2, 0, 3, 2, 1, 2, 1, 3, 3, 3, 3, 3, 0, 2, 3, 1, 2, 2, 2, 2, 2, 0, 3, 0, 3, 3, 0, 1, 2, 2, 1, 2, 1, 3, 3, 3, 3, 0, 2, 1, 0, 3, 3, 0, 2, 0, 1, 3, 1, 1, 2, 2, 2, 2, 0, 3, 0, 2, 1, 2, 1, 3, 3, 3, 3, 3, 0, 0, 2, 2, 3, 1, 2, 1, 2, 2, 2, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 0, 3, 2, 2, 2, 1, 3, 3, 3, 3, 3, 0, 0, 2, 0, 2, 1, 3, 3, 1, 1, 2, 2, 2, 2, 2, 0, 3, 0, 3, 2, 1, 2, 1, 3, 3, 3, 3, 0, 2, 1, 0, 3, 3, 0, 2, 0, 2, 1, 3, 2, 2, 2, 1, 2, 1, 3, 3, 3, 0, 2, 3, 2, 1, 3, 3, 3, 0, 0, 2, 0, 2, 1, 3, 2, 2, 1, 2, 0, 1, 1, 3, 3, 3, 0, 2, 1, 0, 0, 2, 2, 1, 3, 0, 3, 3, 3, 1, 1, 2, 2, 0]"
20,3858330020,"[2, 1, 3, 1, 1, 2, 0, 1, 2, 3, 0, 3, 0, 0, 2, 1, 3, 1, 1, 2, 2, 2, 3, 3, 3, 0, 0, 2, 1, 3, 1, 2]"
21,3858330021,"[3, 2, 1, 3, 0, 3, 2, 1, 3, 3, 3, 0, 2, 3, 3, 1, 2, 2, 0, 2, 1, 3, 0, 3, 3, 1, 1, 0, 1, 2, 0, 2, 0, 2, 1, 2, 2, 0, 3, 3, 3]"
22,3858330022,"[2, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 1, 0, 2, 0, 3, 3, 0, 3, 1, 1, 1, 2, 3, 0, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 3, 2, 2, 0, 0, 0, 3, 3, 1, 1, 3, 2, 0, 2, 0, 3, 3, 0, 3, 1, 1, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 0, 3, 3, 1, 3, 3, 1, 2, 3, 1, 2, 1, 0, 3, 0, 0, 0, 2, 2, 1, 2, 1, 3, 0, 2, 0, 3, 3, 0, 3, 1, 1, 1, 1, 2, 2, 3, 1, 3, 0, 0, 2, 3, 0, 0, 2, 2, 1, 2, 0, 2, 1, 1, 1, 3, 2, 3, 0, 0, 3, 0, 3, 0, 3, 1, 1, 1, 2, 2, 3, 2, 0, 2, 0, 2, 1, 1, 1, 3, 3, 2, 0, 3, 1, 2, 2, 0, 0, 0, 3, 3, 1, 3, 3, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 1, 1, 2, 2, 0, 0, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 0, 2, 1, 3, 2, 0, 0, 2, 2, 1, 3, 0, 3, 3, 0, 3, 1, 1, 1, 2, 2, 2, 1, 3, 0, 1, 2, 2, 0, 0, 0, 3, 3, 3, 1, 2, 1, 1, 2, 2, 0, 0, 0, 3, 3, 1, 3, 3, 1, 1, 2, 1, 0, 3, 0, 0, 0, 2, 2, 1, 1, 2, 0, 3, 2, 2, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 0, 3, 0, 1, 2, 1, 1, 1, 3, 0, 3, 3, 3, 1, 1, 2, 0, 1, 0, 3, 0, 0, 0, 2, 1, 2, 2, 0, 3, 1, 2, 0, 2, 1, 1, 1, 3, 0, 3, 1, 3, 1, 3, 0, 0, 2, 3, 0, 0, 2, 0, 3, 1, 1, 1, 2, 1, 2, 2, 2, 0, 0, 0, 3, 1, 3, 1, 3, 2, 0, 2, 0, 3, 1, 2, 0, 2, 1, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 0, 3, 3, 1, 3, 3, 0, 2, 0, 3, 1, 1, 1, 1, 2, 1, 0, 3, 0, 0, 0, 2, 2, 1, 2, 2, 1, 1, 3, 0, 3, 3, 1, 2, 3, 1, 3, 0, 0, 0, 0, 2, 2, 1, 2, 2, 0, 3, 0, 1, 2, 1, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 0, 3, 3, 1, 2, 0, 2, 1, 1, 1, 3, 0, 3, 3, 3, 1, 1, 2, 0, 1, 0, 3, 0, 0, 0, 2, 0, 3, 1, 1, 1, 2, 3, 0, 0, 2, 1, 2, 2, 0, 3, 1, 1, 3, 2, 0, 3, 3, 0, 2, 0, 3, 1, 1, 1, 2, 1, 2, 3, 1, 3, 0, 0, 0, 0, 2, 1, 2, 2, 0, 3, 1, 2, 0, 2, 1, 1, 1, 3, 2, 3, 0, 3, 3, 3, 0, 0, 0, 2, 1, 2, 1, 2, 0, 2, 1, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 0, 3, 3, 3, 0, 3, 1, 1, 2, 3, 1, 1, 1, 2, 0, 1, 0, 3, 0, 0, 2, 2, 1, 1, 3, 1, 3, 0, 0, 2, 3, 0, 0, 2, 2, 1, 3, 1, 1, 2, 2, 2, 0, 0, 3, 1, 3, 1, 3, 1, 3, 0, 0, 0, 0, 2, 2, 1, 3, 1, 3, 0, 0, 2, 2, 1, 2, 1, 3, 1, 0, 0, 2, 0, 3, 3, 0, 3, 1, 1, 1, 1, 2, 0, 1, 2, 3, 1, 3, 0, 0, 0, 2, 3, 1, 2, 2, 2, 0, 0, 2, 1, 1, 1, 3, 2, 3, 0, 3, 3, 0, 2, 1, 3, 3, 0, 0, 2, 2, 2, 2, 1, 1, 1, 3, 3, 0, 1, 2, 2, 0, 0, 3, 0, 3, 1, 2, 3, 0, 2, 2, 1, 1, 1, 3, 3, 0, 0, 2, 3, 1, 3, 3, 0, 0, 2, 2, 1, 2, 2, 1, 1, 3, 0, 3, 3, 3, 1, 1, 2, 0, 1, 0, 3, 0, 0, 0, 2, 2, 1, 2, 2, 0, 3, 0, 1, 2, 1, 1, 1, 3, 0, 3, 1, 3, 0, 2, 1, 2, 2, 0, 0, 0, 3, 3, 1, 2, 0, 2, 1, 1, 1, 3, 0, 3, 1, 3, 1, 3, 0, 0, 0, 2, 3, 0, 2, 1, 2, 1, 1, 2, 2, 0, 0, 0, 3, 3]"
23,3858330023,"[3, 1, 2, 0, 3, 1, 3, 1, 3, 1, 2, 0, 0, 0, 2, 2, 1, 1, 3]"
24,3858330024,"[3, 0, 3, 2, 2, 0, 0, 2, 1, 1, 1, 3, 1, 1, 3, 3, 0, 2, 0, 0, 3, 0, 2, 3, 1, 2, 2, 2, 1, 3, 3, 1, 1, 2, 0, 1, 2, 0, 0, 0, 3, 0, 1, 1, 2, 0, 3, 0, 3, 3, 1, 2, 1, 1, 1, 2, 0, 0, 0]"
